day,L,seed,chi,delta,g,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_exit_crime,frac_exit_home,mean_p_crime,mean_p_home,B_mean,B_std,H,f_hot_2,f_hot_3,B_q90_over_mean,B_q95_over_mean,B_q99_over_mean,Atilde_mean,Atilde_std,H_At,f_hotA_2,f_hotA_3,At_q90_over_mean,At_q95_over_mean,At_q99_over_mean,Gini_At,AtM_corr,M_mass_on_hotA10,deterrence_hotA,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,T_max,M_bar,M_final_sum,code_hash,wall_s
275.5,128,6,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,205.62222222222223,19.522222222222222,13.483333333333333,32.93333333333333,0.0,0.590190960012244,0.4098090399877561,0.0009436267193383218,0.0006664444941520964,0.09994373302337164,0.13098242355105222,1.3108486482566586,0.096826171875,0.04095289442274305,1.968952650632589,2.7474330169391132,5.329726917685617,0.07181779090291414,0.03077448417214679,0.4284688517127205,0.033646647135416666,0.0050818549262152775,1.493851955728615,1.8083792332359565,2.6448385123156806,0.20034557269525147,0.6684988024462633,0.1256591351357039,0.34920026473437915,0.4309179497038621,0.3418162613626419,0.17156247771788705,0.842349941567157,0.1288011091265601,2.170204069112382,0.4455844572878888,0.07673816494442541,185-365,365,0.030517578125,500.00000000011335,cf03fe577c,19.892
275.5,128,7,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,200.56666666666666,18.644444444444446,13.805555555555555,32.327777777777776,0.0,0.5730816709510983,0.4269183290489017,0.0009313759954615319,0.0006664444941520964,0.09545180637346881,0.12875441852338002,1.349455397353693,0.1007659912109375,0.04294942220052083,2.0091469598170244,2.8065785727926595,5.46079359884577,0.06987169646335724,0.03038371130129955,0.4343716017068771,0.03448723687065972,0.005522325303819444,1.5017777943740478,1.8175624193078086,2.6678124500233267,0.20316103838219687,0.6739662273563203,0.12610505511920828,0.3480147191951593,0.43114672972382756,0.3397897842050811,0.174575558291365,0.8291806615302079,0.12945743111306335,1.7176875731917316,0.4607092743047439,0.08022640385899982,185-365,365,0.030517578125,500.00000000011835,cf03fe577c,19.386
275.5,128,8,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,204.84444444444443,19.42222222222222,13.411111111111111,32.9,0.0,0.5908581682900678,0.40914183170993224,0.0009656959400148867,0.0006664444941520964,0.09959337242459729,0.13486006432988543,1.353821772666742,0.10340847439236112,0.0442169189453125,2.035559797231769,2.8429508103207115,5.495057683653201,0.07132760836769284,0.031748379505948526,0.44494002281346867,0.0365631103515625,0.0055124918619791664,1.5261050389017023,1.8493419221669802,2.6883919946000363,0.2096567396244969,0.6824526172464743,0.12709608651703957,0.34511072546249455,0.43121482784668913,0.33770026042376344,0.177709804195374,0.8431731265961487,0.1302870881982168,2.3577454456820464,0.4666820277348732,0.0806836879821137,185-365,365,0.030517578125,500.0000000001146,cf03fe577c,19.292
275.5,128,9,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,199.77777777777777,19.316666666666666,13.294444444444444,32.71111111111111,0.0,0.5932598477141066,0.40674015228589344,0.0009579634597401826,0.0006664444941520964,0.0986373636518797,0.1344448256758525,1.362527032547183,0.10289984809027777,0.04473639594184028,2.031488221459561,2.8544095912174687,5.580666554526019,0.07087080450784412,0.03156075813822919,0.4450991748379408,0.036848958333333334,0.005695936414930556,1.5201050760955326,1.8487839036387732,2.7041678827557973,0.20918622477730958,0.6907128008140663,0.12744992411461453,0.3441066637304263,0.4312741641499776,0.336623294070481,0.1788545152439081,0.8459845502934554,0.13066306949578582,2.170405490618158,0.4691433810458625,0.08140297948250406,185-365,365,0.030517578125,500.00000000011585,cf03fe577c,19.252
275.5,128,10,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,197.5,19.522222222222222,12.755555555555556,32.2,0.0,0.6019707365421418,0.3980292634578583,0.0009556938698735099,0.0006664444941520964,0.09891134245380494,0.1337407393739251,1.3522575413793119,0.10388726128472223,0.0449951171875,2.0403643200851023,2.861293245668009,5.522302456158641,0.07095471728231512,0.0316723917730351,0.4462914183973802,0.03693033854166667,0.0056298149956597225,1.5231295594973684,1.850879132026088,2.698439324782899,0.2108557549923339,0.6877033808838807,0.1274145746713158,0.344174726501245,0.431440150807413,0.3361387829452808,0.18115150185535223,0.837141172254459,0.13078751848461784,2.394856820177831,0.47129965610879826,0.08410321855496722,185-365,365,0.030517578125,500.0000000001137,cf03fe577c,18.538
275.5,128,11,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,200.55,19.083333333333332,13.694444444444445,32.861111111111114,0.0,0.5799207438173795,0.4200792561826206,0.0009464075875747341,0.0006664444941520964,0.09772861456597616,0.13274666631668153,1.3596448185290138,0.10218607584635417,0.044071790907118054,2.0243318054913075,2.8377431337239605,5.486929133322833,0.07069861324514094,0.031161417468491957,0.44057978579453194,0.036092122395833336,0.005442979600694444,1.5185038886357245,1.8413386574512003,2.6767903314041823,0.20732448102414378,0.6882532382951126,0.1266254581625453,0.34637646581710424,0.43097453217636367,0.33934388376070623,0.17273570636125332,0.8522994840605248,0.12967316411226384,2.3244910991271936,0.4646296457230384,0.07692323823752426,185-365,365,0.030517578125,500.00000000011505,cf03fe577c,19.046
275.5,128,12,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,206.0388888888889,19.594444444444445,13.472222222222221,33.02777777777778,0.0,0.5932717159483023,0.4067282840516977,0.0009574755512046719,0.0006664444941520964,0.10046304169093657,0.134319991373024,1.3361950524551502,0.10343187120225694,0.04360758463541667,2.0354137502758656,2.829483336624825,5.432307738820653,0.07152935119050918,0.03162270950977292,0.4419620444891514,0.035542805989583336,0.005243598090277778,1.519508069438927,1.837420192429472,2.664000013533049,0.2096047120744025,0.6942347565270435,0.12780106311684442,0.3430010530126688,0.4315147263327412,0.334978402120829,0.18303550757457165,0.8408422895778765,0.13119532814338244,2.3411625427724747,0.4672632886955842,0.08501877759668684,185-365,365,0.030517578125,500.0000000001156,cf03fe577c,20.091
275.5,128,13,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,203.22222222222223,19.872222222222224,13.5,33.55555555555556,0.0,0.5955617067801223,0.4044382932198777,0.00097472205383306,0.0006664444941520964,0.10194338252719339,0.1388282458345253,1.361226111897919,0.10464850531684028,0.04586012098524306,2.0490748558934775,2.8882759395954993,5.620866328883134,0.07195631326252559,0.032455445852018754,0.4509288237677615,0.03803609212239583,0.005872599283854167,1.5340949108472908,1.8651443571250859,2.719282675284504,0.21223367431224743,0.6817825044165756,0.12865295157331091,0.3412177931669715,0.43169974156602703,0.33226128186569626,0.18679990300237945,0.8348330957374878,0.13236170538458195,2.2248607226329593,0.4724271263052558,0.08616918587723524,185-365,365,0.030517578125,500.0000000001128,cf03fe577c,19.991
275.5,128,14,27.8528,0.0666666667,0.85,500.0,0.1,0.0666666667,197.84444444444443,19.18888888888889,13.588888888888889,32.733333333333334,0.0,0.5839868071172605,0.4160131928827395,0.0009493552010728805,0.0006664444941520964,0.0987560765772316,0.13380921751744515,1.3568546873267033,0.1017059326171875,0.044279988606770834,2.019092028178731,2.8420515573391696,5.593798464737659,0.07087918485833578,0.03136988676936969,0.4426139093794503,0.03626844618055555,0.005605740017361111,1.51463481630759,1.8405084730596388,2.6963141054074127,0.20797140671822859,0.6916687306110673,0.12787159893381433,0.34316911093963814,0.4314428240664379,0.33560165332767516,0.18149750589079633,0.8401040132504863,0.1310558962090788,2.3122531798723793,0.4679721009831859,0.08343086328949577,185-365,365,0.030517578125,500.0000000001181,cf03fe577c,19.282
275.5,128,0,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,228.74444444444444,17.377777777777776,15.21111111111111,32.63333333333333,0.0,0.5346379417284473,0.46536205827155264,0.0007744327855141822,0.0006664444941520964,0.08888426542524624,0.11956713746827398,1.345480550045893,0.09463941786024306,0.03890279134114583,1.947800806931092,2.690496534289877,5.265974392809862,0.06264617694577987,0.022905342851375222,0.36552560284094937,0.023109605577256945,0.0027848985460069446,1.4176572002953725,1.6769696217988503,2.3993246886352,0.17177416088603803,0.6425347231544938,0.12240646666322122,0.2992353020124693,0.37137753620600517,0.2911081175113874,0.15968316031683388,0.8331601309127024,0.12586831340067153,2.2838643893122077,0.4431471693773364,0.07081654968998195,185-365,365,0.030517578125,500.0000000001256,cf03fe577c,19.606
275.5,128,1,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,228.71666666666667,18.305555555555557,15.177777777777777,33.422222222222224,0.0,0.547209941255055,0.452790058744945,0.0007948083877696813,0.0006664444941520964,0.09305002361301998,0.12336744501745957,1.3254421880408782,0.09520161946614583,0.03852267795138889,1.9537790496577085,2.6840329661444193,5.200193552389197,0.06397079392909236,0.023665106872339543,0.36988509801620606,0.023490397135416667,0.002785576714409722,1.4291632978076876,1.6889169786220921,2.404268305599545,0.17576124668988105,0.635202102509443,0.12263601104670406,0.298695204109532,0.3716198208369393,0.28996877943262434,0.16540314256256597,0.8341365186395453,0.12636527649603874,2.4652959019265337,0.4432227756726219,0.07342833404218249,185-365,365,0.030517578125,500.00000000012056,cf03fe577c,18.93
275.5,128,2,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,225.1,18.13888888888889,15.011111111111111,33.25555555555555,0.0,0.5463578695208743,0.45364213047912566,0.0007949569309134689,0.0006664444941520964,0.09251448510156324,0.12074015478212219,1.3049183089210974,0.0928531222873264,0.03807101779513889,1.92934281874228,2.6626683275219962,5.206220845677786,0.06392441319752007,0.02327816343521428,0.3641394726508622,0.022971937391493055,0.0026753743489583335,1.419128315263607,1.6768791068417366,2.395009195432677,0.17184904093862052,0.6493390452124752,0.12250819182611765,0.29903694641361156,0.37135385372144,0.29103149740375533,0.1579606710317353,0.8354296498564113,0.12589448364495714,2.243381361878874,0.4348421486499965,0.07013280538948585,185-365,365,0.030517578125,500.0000000001203,cf03fe577c,19.408
275.5,128,3,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,225.18333333333334,17.755555555555556,14.772222222222222,32.63333333333333,0.0,0.5432770036023813,0.4567229963976187,0.0007831165530973993,0.0006664444941520964,0.08992225991260329,0.12069696760666251,1.3430600249649294,0.09422336154513888,0.03876274956597222,1.9431795094400972,2.685401617729843,5.243839271231195,0.06300821701840875,0.023004611594115577,0.3648578078030041,0.0231536865234375,0.0026987711588541668,1.4202028388846664,1.6784267329010731,2.394385225088183,0.17198274985325157,0.6405622706800264,0.12235681777351286,0.29956579081364504,0.3713169617455568,0.291261993290575,0.15877324796409242,0.8385231299425808,0.12589366776042904,2.1743013204940858,0.44096592134762097,0.06933636718367456,185-365,365,0.030517578125,500.00000000012153,cf03fe577c,19.637
275.5,128,4,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,222.65555555555557,18.17222222222222,14.561111111111112,32.7,0.0,0.5561997879121147,0.44380021208788545,0.0007952275316075665,0.0006664444941520964,0.09293233765341144,0.12224372654756349,1.316918099345509,0.09393039279513889,0.03782484266493055,1.9423513627376034,2.663897644855567,5.2010485086626055,0.06397487595264967,0.023466558764748256,0.3667037339316569,0.022956339518229167,0.0027289496527777776,1.4219714829678576,1.6780981441231122,2.3927703035211785,0.17377313514342796,0.6461267907282618,0.12259910832067507,0.29881207113545677,0.37155403155406347,0.2901330013741619,0.16209306963148992,0.8305444542595558,0.12622545679732375,2.3072074252820056,0.43964761071870445,0.07297058480965593,185-365,365,0.030517578125,500.0000000001236,cf03fe577c,19.554
275.5,128,5,32.768,0.0666666667,1.0,500.0,0.1,0.0666666667,221.22222222222223,18.07777777777778,14.911111111111111,33.0,0.0,0.5469252475931302,0.4530747524068698,0.0007961802029048957,0.0006664444941520964,0.09254236536804715,0.12471110846370735,1.3474251689746402,0.09898613823784722,0.04108445909288194,1.9902459336744276,2.754419502831716,5.3450046211727065,0.06359975510333847,0.02391846577427493,0.3759450136241903,0.02467617458767361,0.0028835720486111113,1.439342407380416,1.7049315269598524,2.4228770847087953,0.17862721788710773,0.6515666160437669,0.12402169953916543,0.2948672629256728,0.37182151815870396,0.2857054977099484,0.16796906187522004,0.8350128768189589,0.1278674989712611,2.4049587419982466,0.4545506799720736,0.07582507030919687,185-365,365,0.030517578125,500.00000000012193,cf03fe577c,19.471
