timestamp,code_hash,mech,L,seed,g,h,delta,chi,kappa,M_tot,eta_M,omega_M,T_max,status,wall_s,out
2026-06-15T11:21:36,43d8a44465,home,64,1,0.0,0.0,1.2,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.45,runs/summary.csv
2026-06-15T11:21:38,43d8a44465,arrest,64,0,1.0,0.05,0.0,32.768,1.6384,125.0,0.1,0.06666666666666667,120,done,2.54,runs/summary.csv
2026-06-15T11:21:41,43d8a44465,arrest,64,1,1.0,0.05,0.0,32.768,1.6384,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:21:43,43d8a44465,arrest,64,0,1.0,0.1,0.0,32.768,3.2768,125.0,0.1,0.06666666666666667,120,done,2.59,runs/summary.csv
2026-06-15T11:21:46,43d8a44465,arrest,64,1,1.0,0.1,0.0,32.768,3.2768,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:21:48,43d8a44465,arrest,64,0,1.0,0.2,0.0,32.768,6.5536,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:21:57,43d8a44465,arrest,64,1,1.0,0.2,0.0,32.768,6.5536,125.0,0.1,0.06666666666666667,120,done,2.4,runs/summary.csv
2026-06-15T11:21:59,43d8a44465,arrest,64,0,1.0,0.3,0.0,32.768,9.8304,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:22:02,43d8a44465,arrest,64,1,1.0,0.3,0.0,32.768,9.8304,125.0,0.1,0.06666666666666667,120,done,2.48,runs/summary.csv
2026-06-15T11:22:04,43d8a44465,arrest,64,0,1.0,0.5,0.0,32.768,16.384,125.0,0.1,0.06666666666666667,120,done,2.58,runs/summary.csv
2026-06-15T11:22:07,43d8a44465,arrest,64,1,1.0,0.5,0.0,32.768,16.384,125.0,0.1,0.06666666666666667,120,done,2.55,runs/summary.csv
2026-06-15T11:22:10,43d8a44465,arrest,64,0,1.0,0.8,0.0,32.768,26.2144,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:22:12,43d8a44465,arrest,64,1,1.0,0.8,0.0,32.768,26.2144,125.0,0.1,0.06666666666666667,120,done,2.59,runs/summary.csv
2026-06-15T11:22:15,43d8a44465,arrest,64,0,1.0,1.2,0.0,32.768,39.3216,125.0,0.1,0.06666666666666667,120,done,2.53,runs/summary.csv
2026-06-15T11:22:17,43d8a44465,arrest,64,1,1.0,1.2,0.0,32.768,39.3216,125.0,0.1,0.06666666666666667,120,done,2.5,runs/summary.csv
2026-06-15T11:22:20,43d8a44465,arrest,64,0,1.0,2.0,0.0,32.768,65.536,125.0,0.1,0.06666666666666667,120,done,2.45,runs/summary.csv
2026-06-15T11:22:22,43d8a44465,arrest,64,1,1.0,2.0,0.0,32.768,65.536,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:22:25,43d8a44465,home,64,0,1.0,0.0,0.05,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.61,runs/summary.csv
2026-06-15T11:22:27,43d8a44465,home,64,1,1.0,0.0,0.05,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.68,runs/summary.csv
2026-06-15T11:22:30,43d8a44465,home,64,0,1.0,0.0,0.1,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.58,runs/summary.csv
2026-06-15T11:22:33,43d8a44465,home,64,1,1.0,0.0,0.1,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.63,runs/summary.csv
2026-06-15T11:22:35,43d8a44465,home,64,0,1.0,0.0,0.2,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.56,runs/summary.csv
2026-06-15T11:22:43,43d8a44465,home,64,1,1.0,0.0,0.2,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.43,runs/summary.csv
2026-06-15T11:22:45,43d8a44465,home,64,0,1.0,0.0,0.3,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.54,runs/summary.csv
2026-06-15T11:22:48,43d8a44465,home,64,1,1.0,0.0,0.3,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.53,runs/summary.csv
2026-06-15T11:22:50,43d8a44465,home,64,0,1.0,0.0,0.8,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.51,runs/summary.csv
2026-06-15T11:22:53,43d8a44465,home,64,1,1.0,0.0,0.8,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.47,runs/summary.csv
2026-06-15T11:22:55,43d8a44465,home,64,0,1.0,0.0,1.2,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.47,runs/summary.csv
2026-06-15T11:22:58,43d8a44465,home,64,1,1.0,0.0,1.2,32.768,0.0,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:23:00,43d8a44465,arrest,64,0,3.0,0.05,0.0,98.304,1.6384,125.0,0.1,0.06666666666666667,120,done,2.66,runs/summary.csv
2026-06-15T11:23:03,43d8a44465,arrest,64,1,3.0,0.05,0.0,98.304,1.6384,125.0,0.1,0.06666666666666667,120,done,2.64,runs/summary.csv
2026-06-15T11:23:06,43d8a44465,arrest,64,0,3.0,0.1,0.0,98.304,3.2768,125.0,0.1,0.06666666666666667,120,done,2.55,runs/summary.csv
2026-06-15T11:23:08,43d8a44465,arrest,64,1,3.0,0.1,0.0,98.304,3.2768,125.0,0.1,0.06666666666666667,120,done,2.63,runs/summary.csv
2026-06-15T11:23:11,43d8a44465,arrest,64,0,3.0,0.2,0.0,98.304,6.5536,125.0,0.1,0.06666666666666667,120,done,2.47,runs/summary.csv
2026-06-15T11:23:13,43d8a44465,arrest,64,1,3.0,0.2,0.0,98.304,6.5536,125.0,0.1,0.06666666666666667,120,done,2.63,runs/summary.csv
2026-06-15T11:23:16,43d8a44465,arrest,64,0,3.0,0.3,0.0,98.304,9.8304,125.0,0.1,0.06666666666666667,120,done,2.55,runs/summary.csv
2026-06-15T11:23:19,43d8a44465,arrest,64,1,3.0,0.3,0.0,98.304,9.8304,125.0,0.1,0.06666666666666667,120,done,2.58,runs/summary.csv
2026-06-15T11:23:21,43d8a44465,arrest,64,0,3.0,0.5,0.0,98.304,16.384,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:23:29,43d8a44465,arrest,64,1,3.0,0.5,0.0,98.304,16.384,125.0,0.1,0.06666666666666667,120,done,2.4,runs/summary.csv
2026-06-15T11:23:31,43d8a44465,arrest,64,0,3.0,0.8,0.0,98.304,26.2144,125.0,0.1,0.06666666666666667,120,done,2.55,runs/summary.csv
2026-06-15T11:23:34,43d8a44465,arrest,64,1,3.0,0.8,0.0,98.304,26.2144,125.0,0.1,0.06666666666666667,120,done,2.61,runs/summary.csv
2026-06-15T11:23:36,43d8a44465,arrest,64,0,3.0,1.2,0.0,98.304,39.3216,125.0,0.1,0.06666666666666667,120,done,2.38,runs/summary.csv
2026-06-15T11:23:39,43d8a44465,arrest,64,1,3.0,1.2,0.0,98.304,39.3216,125.0,0.1,0.06666666666666667,120,done,2.51,runs/summary.csv
2026-06-15T11:23:41,43d8a44465,arrest,64,0,3.0,2.0,0.0,98.304,65.536,125.0,0.1,0.06666666666666667,120,done,2.5,runs/summary.csv
2026-06-15T11:23:44,43d8a44465,arrest,64,1,3.0,2.0,0.0,98.304,65.536,125.0,0.1,0.06666666666666667,120,done,2.58,runs/summary.csv
2026-06-15T11:23:46,43d8a44465,home,64,0,3.0,0.0,0.05,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
