day,L,seed,chi,kappa,delta,g,h,M_tot,eta_M,omega_M,n_criminals,crimes_that_day,arrests_that_day,home_exits_that_day,inflow_that_day,balance_error,frac_removed_crime,frac_removed_arrest,frac_removed_home,mean_p_crime,mean_p_arrest,B_mean,B_std,H,f_hot_2,f_hot_3,Atilde_mean,deterrence_mean,deterrence_hot,M_cv,MB_corr,M_mass_on_hot10,crime_entropy,Gini_B,Gini_M,stat_window,mech,T_max,M_final_sum,wall_s
90.5,64,0,0.0,16.384,0.0,0.0,0.5,125.0,0.1,0.06666666666666667,12.833333333333334,1.8666666666666667,6.416666666666667,0.0,8.4,0.0,0.23187104562104566,0.7681289543789543,0.0,0.0014774339386965547,0.005076684135375898,0.04073605412273903,0.10092656460705673,2.455596853825092,0.10599365234375,0.06538899739583333,0.07405095962359919,1.0,1.0,0.04077636772126451,0.8466983672909199,0.10804443696309735,0.3350211372706401,0.6275614425267239,0.016496110363032574,60-120,arrest,120,125.0000000000339,2.6284401416778564
90.5,64,1,0.0,16.384,0.0,0.0,0.5,125.0,0.1,0.06666666666666667,12.6,1.7166666666666666,6.583333333333333,0.0,8.383333333333333,0.0,0.20825408387908384,0.7917459161209162,0.0,0.001258700408962005,0.005056552306914572,0.036915917667081036,0.08673403862547117,2.3233859934998375,0.10797526041666666,0.06232096354166667,0.07025107637077266,1.0,1.0,0.03535019085643108,0.8055629851539556,0.10659864539355501,0.0,0.6192914879984261,0.015708967383591253,60-120,arrest,120,125.00000000003453,2.5903356075286865
90.5,64,0,0.0,32.768,0.0,0.0,1.0,125.0,0.1,0.06666666666666667,7.6,0.48333333333333334,7.85,0.0,8.233333333333333,0.0,0.061695526695526685,0.9383044733044733,0.0,0.0007035650075502825,0.010006850566042124,0.01276448132494307,0.03552979186152996,2.6642073529163257,0.10990397135416667,0.06413167317708333,0.04610632998938043,1.0,1.0,0.013430275908997034,0.798439787614624,0.10249386022849613,0.0,0.632221698495443,0.005782090537688986,60-120,arrest,120,125.00000000003685,2.4143283367156982
90.5,64,1,0.0,32.768,0.0,0.0,1.0,125.0,0.1,0.06666666666666667,7.55,0.55,8.05,0.0,8.65,0.0,0.059147195397195394,0.9408528046028047,0.0,0.0006082061427782685,0.00998636645068148,0.011906075304740332,0.034250159820997536,2.8397050577871226,0.09742838541666667,0.0546875,0.04524735131672926,1.0,1.0,0.011620746116952732,0.8022565453355001,0.10202581083592406,0.0,0.6052485308616052,0.0045567123990573775,60-120,arrest,120,125.00000000003685,2.3970298767089844
90.5,64,0,0.0,49.152,0.0,0.0,1.5,125.0,0.1,0.06666666666666667,5.433333333333334,0.08333333333333333,7.983333333333333,0.0,8.033333333333333,0.0,0.016396103896103895,0.9836038961038961,0.0,0.0003949509600232315,0.014899894013844946,0.002747368414434784,0.008875163029855403,2.900960783095356,0.08907063802083333,0.05996907552083333,0.036082534548578286,1.0,1.0,0.0037214501673921738,0.7867831607608179,0.10075699493912627,0.0,0.5731722798701068,0.001471387066105965,60-120,arrest,120,125.00000000003786,2.3361077308654785
90.5,64,1,0.0,49.152,0.0,0.0,1.5,125.0,0.1,0.06666666666666667,5.3,0.26666666666666666,7.933333333333334,0.0,8.15,0.0,0.034194925444925445,0.9658050745550746,0.0,0.0005043583558302054,0.014922229974318933,0.00677469871510047,0.019946688496525134,2.7573268533043223,0.10277913411458334,0.06575927734375,0.040112551527229735,1.0,1.0,0.008221346169631836,0.7628899619582987,0.10167240658941844,0.0,0.6402781026124745,0.0035365082891960684,60-120,arrest,120,125.00000000003746,2.393632650375366
90.5,64,0,0.0,98.304,0.0,0.0,3.0,125.0,0.1,0.06666666666666667,2.783333333333333,0.1,8.3,0.0,8.35,0.0,0.014550264550264551,0.9854497354497355,0.0,0.0003959298023029339,0.029575294349334605,0.003285392220110477,0.009439901490661842,2.906054148350805,0.08802490234375,0.04769287109375,0.03662091727607231,1.0,1.0,0.003895214410410806,0.7890658435001636,0.10077083186452236,0.0,0.569900543655802,0.0016257680284428588,60-120,arrest,120,125.00000000003757,2.3307647705078125
90.5,64,1,0.0,98.304,0.0,0.0,3.0,125.0,0.1,0.06666666666666667,2.75,0.06666666666666667,8.733333333333333,0.0,8.783333333333333,0.0,0.007599807599807599,0.9924001924001924,0.0,0.00036618913911121143,0.02956363489937441,0.0023294366255490607,0.006306681314162615,2.089501860679263,0.10120035807291666,0.06420084635416666,0.03566432395262859,1.0,1.0,0.0026045502062524125,0.7469765296657326,0.10055101345715868,0.0,0.5345200719766104,0.0011287701904930854,60-120,arrest,120,125.00000000003783,2.377770185470581
90.5,64,0,16.384,16.384,0.0,0.5,0.5,125.0,0.1,0.06666666666666667,14.566666666666666,0.8166666666666667,7.45,0.0,8.333333333333334,0.0,0.09496290746290746,0.9050370925370924,0.0,0.0005879833193465265,0.005021356291960617,0.017115535976647663,0.04246666893216357,2.4273591455002252,0.09530436197916667,0.05430908203125,0.0435441324497766,0.6065489617479037,0.5989365403762359,0.014640363670521192,0.7898392509915814,0.10264853512402197,0.0,0.5753482525168753,0.006066151007292377,60-120,both,120,125.00000000003604,2.4153387546539307
90.5,64,1,16.384,16.384,0.0,0.5,0.5,125.0,0.1,0.06666666666666667,14.533333333333333,0.75,7.216666666666667,0.0,7.883333333333334,0.0,0.08415399415399416,0.9158460058460058,0.0,0.0005895322381586304,0.005018744859452992,0.017484668668575853,0.042928134669029464,2.4564871987301578,0.10230712890625,0.05712076822916667,0.04375811311357398,0.6065515378267926,0.5985792485513914,0.015916772946916888,0.7850929501944741,0.10277279253709969,0.0,0.586961067234982,0.006619123506156719,60-120,both,120,125.00000000003595,2.4235081672668457
90.5,64,0,32.768,32.768,0.0,1.0,1.0,125.0,0.1,0.06666666666666667,7.283333333333333,0.23333333333333334,7.95,0.0,8.2,0.0,0.034279100529100534,0.9657208994708995,0.0,0.00037025852405763566,0.00995771746500881,0.0060413593814792116,0.017306313410632258,2.683989507999753,0.10422770182291667,0.06575520833333333,0.03551379682624365,0.36788954912272726,0.3633445362932478,0.006918229213437663,0.7629061633152385,0.10135084401846485,0.0,0.6308977121272875,0.0031144614506472103,60-120,both,120,125.00000000003725,2.432281494140625
90.5,64,1,32.768,32.768,0.0,1.0,1.0,125.0,0.1,0.06666666666666667,9.0,0.25,8.233333333333333,0.0,8.533333333333333,0.0,0.027136428386428386,0.9728635716135716,0.0,0.0003703605955499381,0.009960072405063044,0.005721882373411502,0.018623785572055004,3.1034239900488125,0.09924723307291666,0.05846354166666667,0.035393441811285564,0.3678887891391538,0.3644030956804928,0.006344831795057334,0.7957890155283487,0.1010641362670734,0.0,0.610696759831456,0.0023422859802528246,60-120,both,120,125.00000000003746,2.516657829284668
90.5,64,0,49.152,49.152,0.0,1.5,1.5,125.0,0.1,0.06666666666666667,5.5,0.08333333333333333,7.983333333333333,0.0,8.0,0.0,0.016515151515151517,0.9834848484848483,0.0,0.00034163493176827197,0.014891767120150202,0.00317792520673879,0.009956555221215304,2.7373819903714844,0.09752197265625,0.06381022135416667,0.03402398942107461,0.22313741602655696,0.22062239924964225,0.004541014849313235,0.7718179031109287,0.10086468455978728,0.0,0.5957492545815298,0.0018854113201051293,60-120,both,120,125.00000000003777,2.4229867458343506
90.5,64,1,49.152,49.152,0.0,1.5,1.5,125.0,0.1,0.06666666666666667,5.4,0.16666666666666666,8.266666666666667,0.0,8.466666666666667,0.0,0.02297017797017797,0.977029822029822,0.0,0.0003480029439805884,0.014901668996348654,0.003906675308562655,0.013827279652023959,3.247079427613662,0.09507242838541667,0.057047526041666664,0.03418132640828358,0.22313752892772964,0.2205270543301195,0.004823198520964043,0.795134940810556,0.10089391460772071,0.0,0.6070657945107913,0.001838481858399297,60-120,both,120,125.00000000003755,2.434279680252075
90.5,64,0,98.304,98.304,0.0,3.0,3.0,125.0,0.1,0.06666666666666667,2.7,0.06666666666666667,8.2,0.0,8.25,0.0,0.010462962962962962,0.989537037037037,0.0,0.00033480375072426617,0.029563631549276867,0.0025548099969578556,0.008200616699712383,3.361864154913967,0.08193766276041667,0.04607747395833333,0.033455803258523716,0.049790696494225115,0.0489085129829066,0.0034763220642191396,0.801381149387963,0.10070651735003171,0.0,0.5674767266901909,0.0012933384223523655,60-120,both,120,125.00000000003752,2.3497989177703857
