day,n_criminals,n_crimes_that_day_proxy,A_mean,A_std,hotspot_index_std_over_mean,fraction_A_above_2Abar,fraction_B_above_2Bbar
109.0,60,1,0.20050012026911104,0.2555862295759354,1.2747435225120456,0.11114501953125,0.12591552734375
110.0,58,0,0.1989616969833613,0.2525986318387835,1.2695842248465932,0.10943603515625,0.1240234375
111.0,64,0,0.19753632664903023,0.2515151204827327,1.273260087141382,0.10888671875,0.124267578125
112.0,58,0,0.2004685175985633,0.2699079116561784,1.3463855317006281,0.1119384765625,0.12530517578125
113.0,59,0,0.20224645017005213,0.26926653324138866,1.331378291262887,0.1146240234375,0.12933349609375
114.0,70,0,0.19958106533540926,0.24384394824346248,1.221778969030286,0.1160888671875,0.13037109375
115.0,65,0,0.20074802042285741,0.26906073880528736,1.3402908693123619,0.112548828125,0.12799072265625
116.0,57,0,0.20248168032500607,0.279236552113991,1.379070697486235,0.11126708984375,0.1275634765625
117.0,52,0,0.19984786262928744,0.25914879877107416,1.2967303996229793,0.1102294921875,0.12530517578125
118.0,60,0,0.19704435868859566,0.23980868517987886,1.2170289308249973,0.10919189453125,0.12432861328125
119.0,67,0,0.19542524680562476,0.24516213508480364,1.2545059509565237,0.108642578125,0.12420654296875
120.0,72,0,0.1948815787241189,0.2474958785949026,1.2699808787225924,0.1077880859375,0.1234130859375
121.0,65,0,0.1957189856970993,0.2581758432737172,1.3191149665637345,0.10736083984375,0.12408447265625
122.0,63,0,0.19684658046893427,0.2674406010952907,1.3586245717765841,0.1048583984375,0.121337890625
123.0,67,0,0.19691779973839643,0.2531760515081268,1.2856940908565349,0.10589599609375,0.121337890625
124.0,67,0,0.19529184950574588,0.2371325132777948,1.2142468509461164,0.10919189453125,0.12335205078125
125.0,78,0,0.19310496774488461,0.22791244403156863,1.1802515838570709,0.110107421875,0.12603759765625
126.0,73,1,0.19669751650849002,0.2621487417814719,1.3327506439063599,0.1103515625,0.12744140625
127.0,81,0,0.1984155492854256,0.25466565706789474,1.2834964698333797,0.111572265625,0.12884521484375
128.0,67,0,0.20301289971269332,0.2751014496227008,1.3550934448600467,0.11370849609375,0.12982177734375
129.0,51,0,0.20562504524913358,0.270641571039513,1.3161897214982052,0.11700439453125,0.1341552734375
130.0,60,1,0.2031397135339509,0.26039983791023597,1.2818755790295782,0.116943359375,0.13372802734375
131.0,67,0,0.20078985763000604,0.2516520621367732,1.2533106258807682,0.115234375,0.1331787109375
132.0,60,0,0.20053612656566547,0.24225998543713134,1.2080615577154046,0.11260986328125,0.13140869140625
133.0,62,0,0.1983873088907253,0.24782957913216425,1.249220933122655,0.10986328125,0.12713623046875
134.0,69,1,0.19567881027264367,0.2368056474339021,1.2101752208323195,0.10406494140625,0.1219482421875
135.0,59,0,0.19816166137148328,0.26324276254958207,1.328424281102966,0.1021728515625,0.11944580078125
136.0,66,0,0.19580590112866866,0.2376774170721907,1.2138419511473624,0.1025390625,0.11993408203125
137.0,74,0,0.1949091588496926,0.23239324192316416,1.1923156576873744,0.1021728515625,0.11859130859375
